,Title,Year,Foreign Percent,Domestic Percent,Foreign Lifetime Gross,Domestic Lifetime Gross,Global Lifetime Gross
0,Avatar,2009,73.3,26.7,2086889714,760507625,2847397339
1,Avengers: Endgame,2019,69.3,30.7,1939128328,858373000,2797501328
2,Titanic,1997,70.0,30.0,1542283320,659363944,2201647264
3,Star Wars: Episode VII - The Force Awakens,2015,54.7,45.3,1132859475,936662225,2069521700
4,Avengers: Infinity War,2018,66.9,33.1,1369544272,678815482,2048359754
5,Spider-Man: No Way Home,2021,57.5,42.5,1088000000,804747988,1892747988
6,Jurassic World,2015,60.9,39.1,1018130819,653406625,1671537444
7,The Lion King,2019,67.3,32.7,1119261396,543638043,1662899439
8,The Avengers,2012,59.0,41.0,895457605,623357910,1518815515
9,Furious 7,2015,76.7,23.3,1162334379,353007020,1515341399
10,Frozen II,2019,67.1,32.9,972653355,477373578,1450026933
11,Avengers: Age of Ultron,2015,67.3,32.7,943803672,459005868,1402809540
12,Black Panther,2018,48.0,52.0,647171407,700426566,1347597973
13,Harry Potter and the Deathly Hallows: Part 2,2011,71.6,28.4,960912355,381447587,1342359942
14,Star Wars: Episode VIII - The Last Jedi,2017,53.5,46.5,712517448,620181382,1332698830
15,Jurassic World: Fallen Kingdom,2018,68.1,31.9,892746536,417719760,1310466296
16,Frozen,2013,68.7,31.3,880555091,400953009,1281508100
17,Beauty and the Beast,2017,60.4,39.6,769095055,504481165,1273576220
18,Incredibles 2,2018,51.0,49.0,634507500,608581744,1243089244
19,The Fate of the Furious,2017,81.7,18.3,1009996733,226008385,1236005118
20,Iron Man 3,2013,66.3,33.7,805797258,409013994,1214811252
21,Minions,2015,71.0,29.0,823398892,336045770,1159444662
22,Captain America: Civil War,2016,64.6,35.4,745253147,408084349,1153337496
23,Aquaman,2018,70.8,29.2,813424079,335104314,1148528393
24,The Lord of the Rings: The Return of the King,2003,67.0,33.0,768185007,378251207,1146436214
25,Spider-Man: Far from Home,2019,65.5,34.5,741395911,390532085,1131927996
26,Captain Marvel,2019,62.2,37.8,701633133,426829839,1128462972
27,Transformers: Dark of the Moon,2011,68.6,31.4,771403536,352390543,1123794079
28,Skyfall,2012,72.5,27.5,804209222,304360277,1108569499
29,Transformers: Age of Extinction,2014,77.8,22.2,858614996,245439076,1104054072
30,Jurassic Park,1993,63.2,36.8,695344482,404214720,1099559202
31,The Dark Knight Rises,2012,58.6,41.4,633003513,448149584,1081153097
32,Joker,2019,68.8,31.2,738968073,335477657,1074445730
33,Star Wars: Episode IX - The Rise of Skywalker,2019,52.0,48.0,558946737,515202542,1074149279
34,Toy Story 4,2019,59.6,40.4,639356585,434038008,1073394593
35,Toy Story 3,2010,61.1,38.9,651965931,415004880,1066970811
36,Pirates of the Caribbean: Dead Man's Chest,2006,60.3,39.7,642863935,423315812,1066179747
37,The Lion King,1994,60.2,39.8,640828028,422783777,1063611805
38,Rogue One: A Star Wars Story,2016,49.6,50.4,523880396,532177324,1056057720
39,Aladdin,2019,66.2,33.8,695134737,355559216,1050693953
40,Pirates of the Caribbean: On Stranger Tides,2011,77.0,23.0,804642000,241071802,1045713802
41,Despicable Me 3,2017,74.4,25.6,770175831,264624300,1034800131
42,Finding Dory,2016,52.7,47.3,542275381,486295561,1028570942
43,Star Wars: Episode I - The Phantom Menace,1999,53.8,46.2,552538030,474544677,1027082707
44,Alice in Wonderland,2010,67.4,32.6,691277106,334191110,1025468216
45,Zootopia,2016,66.7,33.3,682852856,341268248,1024121104
46,Harry Potter and the Sorcerer's Stone,2001,68.7,31.3,698901887,318886962,1017788849
47,The Hobbit: An Unexpected Journey,2012,70.2,29.8,714000000,303030651,1017030651
48,The Dark Knight,2008,46.8,53.2,471115201,534987076,1006102277
49,Harry Potter and the Deathly Hallows: Part 1,2010,69.7,30.3,680695762,296374621,977070383
50,Despicable Me 2,2013,62.1,37.9,602700620,368065385,970766005
51,The Jungle Book,2016,62.3,37.7,602553806,364001123,966554929
52,Jumanji: Welcome to the Jungle,2017,58.0,42.0,558002774,404540171,962542945
53,The Hobbit: The Battle of the Five Armies,2014,73.5,26.5,707063077,255138261,962201338
54,Pirates of the Caribbean: At World's End,2007,67.8,32.2,651576067,309420425,960996492
55,The Hobbit: The Desolation of Smaug,2013,73.1,26.9,700640658,258387334,959027992
56,The Lord of the Rings: The Two Towers,2002,63.8,36.2,604943730,342952511,947896241
57,Harry Potter and the Order of the Phoenix,2007,69.0,31.0,649818983,292382727,942201710
58,Finding Nemo,2003,59.5,40.5,559509384,380843261,940352645
59,Harry Potter and the Half-Blood Prince,2009,67.6,32.4,632148665,302334374,934483039
60,Shrek 2,2004,52.5,47.5,487534523,441226247,928760770
61,Bohemian Rhapsody,2018,76.2,23.8,694141269,216668042,910809311
62,The Battle at Lake Changjin,2021,100.0,0.0,902198524,342411,902540935
63,The Lord of the Rings: The Fellowship of the Ring,2001,64.8,35.2,581979322,316115420,898094742
64,Harry Potter and the Goblet of Fire,2005,67.6,32.4,606260336,290469928,896730264
65,Spider-Man 3,2007,62.4,37.6,558453070,336530303,894983373
66,Ice Age 3: Dawn of the Dinosaurs,2009,77.8,22.2,690113112,196573705,886686817
67,Spectre,2015,77.3,22.7,680606910,200074609,880681519
68,Spider-Man: Homecoming,2017,62.0,38.0,545965784,334201140,880166924
69,Harry Potter and the Chamber of Secrets,2002,70.2,29.8,617152230,262641637,879793867
70,Ice Age 4: Continental Drift,2012,81.6,18.4,715922939,161321843,877244782
71,The Secret Life of Pets,2016,57.9,42.1,507074301,368384330,875458631
72,Batman v Superman: Dawn of Justice,2016,62.2,37.8,543277334,330360194,873637528
73,Wolf Warrior 2,2017,99.7,0.3,867604339,2721100,870325439
74,Star Wars: Episode III - Revenge of the Sith,2005,56.2,43.8,488119983,380270577,868390560
75,The Hunger Games: Catching Fire,2013,50.9,49.1,440343699,424668047,865011746
76,Guardians of the Galaxy Vol. 2,2017,54.9,45.1,473942950,389813101,863756051
77,Inside Out,2015,58.4,41.6,501926308,356921711,858848019
78,Venom,2018,75.1,24.9,642569645,213515506,856085151
79,Thor: Ragnarok,2017,63.1,36.9,538925590,315058289,853983879
80,Inception,2010,65.0,35.0,544260772,292587330,836848102
81,Transformers: Revenge of the Fallen,2009,51.9,48.1,434191823,402111870,836303693
82,The Twilight Saga: Breaking Dawn - Part 2,2012,64.8,35.2,537422917,292324737,829747654
83,Spider-Man,2002,50.7,49.3,418002176,407022860,825025036
84,Wonder Woman,2017,49.8,50.2,410009114,412845172,822854286
85,"Hi, Mom",2021,100.0,0.0,822009764,0,822009764
86,Doctor Strange in the Multiverse of Madness,2022,56.3,43.7,461659427,358793979,820453406
87,Independence Day,1996,62.5,37.5,511231623,306169268,817400891
88,Fantastic Beasts and Where to Find Them,2016,71.2,28.8,580006426,234037575,814044001
89,Shrek the Third,2007,60.3,39.7,490647436,322719944,813367380
90,Coco,2017,74.0,26.0,597357873,210460015,807817888
91,Jumanji: The Next Level,2019,60.0,40.0,479744747,320314960,800059707
92,Harry Potter and the Prisoner of Azkaban,2004,68.6,31.4,547385622,250105651,797491273
93,Pirates of the Caribbean: Dead Men Tell No Tales,2017,78.3,21.7,622322566,172558876,794881442
94,E.T. the Extra-Terrestrial,1982,45.1,54.9,357800000,435110554,792910554
95,Mission: Impossible - Fallout,2018,72.2,27.8,571498294,220159104,791657398
96,2012,2009,79.0,21.0,625105659,166112167,791217826
97,Indiana Jones and the Kingdom of the Crystal Skull,2008,59.9,40.1,473552823,317101119,790653942
98,Spider-Man 2,2004,52.6,47.4,415390628,373585825,788976453
99,Fast & Furious 6,2013,69.7,30.3,550001118,238679850,788680968
100,Deadpool 2,2018,58.7,41.3,461304874,324591735,785896609
101,Deadpool,2016,53.6,46.4,419766082,363070709,782836791
102,Star Wars,1977,40.6,59.4,314399500,460998507,775398007
103,No Time to Die,2021,79.2,20.8,613262000,160891007,774153007
104,Guardians of the Galaxy,2014,56.8,43.2,439631547,333718600,773350147
